"Name","Symbol","Exchange"
"Jindal Saw Ltd.","JINDALSAW.NS","NSE"
"Jindal Stainless Ltd.","JSL.NS","NSE"
"Jindal Steel & Power Ltd.","JINDALSTEL.NS","NSE"
"Jio Financial Services Ltd.","JIOFIN.NS","NSE"
"Jubilant Foodworks Ltd.","JUBLFOOD.NS","NSE"
"Jubilant Ingrevia Ltd.","JUBLINGREA.NS","NSE"
"Jubilant Pharmova Ltd.","JUBLPHARMA.NS","NSE"
"Jupiter Wagons Ltd.","JWL.NS","NSE"
"Justdial Ltd.","JUSTDIAL.NS","NSE"
"Jyothy Labs Ltd.","JYOTHYLAB.NS","NSE"
"Jyoti CNC Automation Ltd.","JYOTICNC.NS","NSE"
"K.P.R. Mill Ltd.","KPRMILL.NS","NSE"
"KEI Industries Ltd.","KEI.NS","NSE"
"KNR Constructions Ltd.","KNRCON.NS","NSE"
"KPIT Technologies Ltd.","KPITTECH.NS","NSE"
"Kajaria Ceramics Ltd.","KAJARIACER.NS","NSE"
"Kalpataru Projects International Ltd.","KPIL.NS","NSE"
"Kalyan Jewellers India Ltd.","KALYANKJIL.NS","NSE"
"Kansai Nerolac Paints Ltd.","KANSAINER.NS","NSE"
"Karur Vysya Bank Ltd.","KARURVYSYA.NS","NSE"
"Kaynes Technology India Ltd.","KAYNES.NS","NSE"
"Kec International Ltd.","KEC.NS","NSE"
"Kfin Technologies Ltd.","KFINTECH.NS","NSE"
"Kirloskar Brothers Ltd.","KIRLOSBROS.NS","NSE"
"Kirloskar Oil Eng Ltd.","KIRLOSENG.NS","NSE"
"Kotak Mahindra Bank Ltd.","KOTAKBANK.NS","NSE"
"Krishna Institute of Medical Sciences Ltd.","KIMS.NS","NSE"
"L&T Finance Ltd.","LTF.NS","NSE"
"L&T Technology Services Ltd.","LTTS.NS","NSE"
"LIC Housing Finance Ltd.","LICHSGFIN.NS","NSE"
"LT Foods Ltd.","LTFOODS.NS","NSE"
"LTIMindtree Ltd.","LTIM.NS","NSE"
"Larsen & Toubro Ltd.","LT.NS","NSE"
"Latent View Analytics Ltd.","LATENTVIEW.NS","NSE"
"Laurus Labs Ltd.","LAURUSLABS.NS","NSE"
"Lemon Tree Hotels Ltd.","LEMONTREE.NS","NSE"
"Life Insurance Corporation of India","LICI.NS","NSE"
"Linde India Ltd.","LINDEINDIA.NS","NSE"
"Lloyds Metals And Energy Ltd.","LLOYDSME.NS","NSE"
"Lupin Ltd.","LUPIN.NS","NSE"
"MMTC Ltd.","MMTC.NS","NSE"
"MRF Ltd.","MRF.NS","NSE"
"Macrotech Developers Ltd.","LODHA.NS","NSE"
"Mahanagar Gas Ltd.","MGL.NS","NSE"
"Maharashtra Seamless Ltd.","MAHSEAMLES.NS","NSE"
"Mahindra & Mahindra Financial Services Ltd.","M&MFIN.NS","NSE"
"Mahindra & Mahindra Ltd.","M&M.NS","NSE"
"Manappuram Finance Ltd.","MANAPPURAM.NS","NSE"
"Mangalore Refinery & Petrochemicals Ltd.","MRPL.NS","NSE"
"Mankind Pharma Ltd.","MANKIND.NS","NSE"
"Marico Ltd.","MARICO.NS","NSE"
"Maruti Suzuki India Ltd.","MARUTI.NS","NSE"
"Mastek Ltd.","MASTEK.NS","NSE"
"Max Financial Services Ltd.","MFSL.NS","NSE"
"Max Healthcare Institute Ltd.","MAXHEALTH.NS","NSE"
"Mazagoan Dock Shipbuilders Ltd.","MAZDOCK.NS","NSE"
"Metropolis Healthcare Ltd.","METROPOLIS.NS","NSE"
"Minda Corporation Ltd.","MINDACORP.NS","NSE"
"Motherson Sumi Wiring India Ltd.","MSUMI.NS","NSE"
"Motilal Oswal Financial Services Ltd.","MOTILALOFS.NS","NSE"
"MphasiS Ltd.","MPHASIS.NS","NSE"
"Multi Commodity Exchange of India Ltd.","MCX.NS","NSE"
"Muthoot Finance Ltd.","MUTHOOTFIN.NS","NSE"
"NATCO Pharma Ltd.","NATCOPHARM.NS","NSE"
"NBCC (India) Ltd.","NBCC.NS","NSE"
"NCC Ltd.","NCC.NS","NSE"
"NHPC Ltd.","NHPC.NS","NSE"
"NLC India Ltd.","NLCINDIA.NS","NSE"
"NMDC Ltd.","NMDC.NS","NSE"
"NMDC Steel Ltd.","NSLNISP.NS","NSE"
"NTPC Green Energy Ltd.","NTPCGREEN.NS","NSE"
"NTPC Ltd.","NTPC.NS","NSE"
"Narayana Hrudayalaya Ltd.","NH.NS","NSE"
"National Aluminium Co. Ltd.","NATIONALUM.NS","NSE"
"Nava Ltd.","NAVA.NS","NSE"
"Navin Fluorine International Ltd.","NAVINFLUOR.NS","NSE"
"Nestle India Ltd.","NESTLEIND.NS","NSE"
"Netweb Technologies India Ltd.","NETWEB.NS","NSE"
"Network18 Media & Investments Ltd.","NETWORK18.NS","NSE"
"Neuland Laboratories Ltd.","NEULANDLAB.NS","NSE"
"Newgen Software Technologies Ltd.","NEWGEN.NS","NSE"
"Nippon Life India Asset Management Ltd.","NAM-INDIA.NS","NSE"
"Niva Bupa Health Insurance Company Ltd.","NIVABUPA.NS","NSE"
"Nuvama Wealth Management Ltd.","NUVAMA.NS","NSE"
"Oberoi Realty Ltd.","OBEROIRLTY.NS","NSE"
"Oil & Natural Gas Corporation Ltd.","ONGC.NS","NSE"
"Oil India Ltd.","OIL.NS","NSE"
"Ola Electric Mobility Ltd.","OLAELEC.NS","NSE"
"Olectra Greentech Ltd.","OLECTRA.NS","NSE"
"One 97 Communications Ltd.","PAYTM.NS","NSE"
"Oracle Financial Services Software Ltd.","OFSS.NS","NSE"
"PB Fintech Ltd.","POLICYBZR.NS","NSE"
"PCBL Chemical Ltd.","PCBL.NS","NSE"
"PG Electroplast Ltd.","PGEL.NS","NSE"
"PI Industries Ltd.","PIIND.NS","NSE"
"PNB Housing Finance Ltd.","PNBHOUSING.NS","NSE"
"PNC Infratech Ltd.","PNCINFRA.NS","NSE"
"PTC Industries Ltd.","PTCIL.NS","NSE"
"PVR INOX Ltd.","PVRINOX.NS","NSE"
"Page Industries Ltd.","PAGEIND.NS","NSE"
"Patanjali Foods Ltd.","PATANJALI.NS","NSE"
"Persistent Systems Ltd.","PERSISTENT.NS","NSE"
"Petronet LNG Ltd.","PETRONET.NS","NSE"
"Pfizer Ltd.","PFIZER.NS","NSE"
"Phoenix Mills Ltd.","PHOENIXLTD.NS","NSE"
"Pidilite Industries Ltd.","PIDILITIND.NS","NSE"
"Piramal Enterprises Ltd.","PEL.NS","NSE"
"Piramal Pharma Ltd.","PPLPHARMA.NS","NSE"
"Poly Medicure Ltd.","POLYMED.NS","NSE"
"Polycab India Ltd.","POLYCAB.NS","NSE"
"Poonawalla Fincorp Ltd.","POONAWALLA.NS","NSE"
"Power Finance Corporation Ltd.","PFC.NS","NSE"
"Power Grid Corporation of India Ltd.","POWERGRID.NS","NSE"
"Praj Industries Ltd.","PRAJIND.NS","NSE"
"Premier Energies Ltd.","PREMIERENE.NS","NSE"
"Prestige Estates Projects Ltd.","PRESTIGE.NS","NSE"
"Punjab National Bank","PNB.NS","NSE"
"R R Kabel Ltd.","RRKABEL.NS","NSE"
"RBL Bank Ltd.","RBLBANK.NS","NSE"
"REC Ltd.","RECLTD.NS","NSE"
"RHI MAGNESITA INDIA LTD.","RHIM.NS","NSE"
"RITES Ltd.","RITES.NS","NSE"
"Radico Khaitan Ltd","RADICO.NS","NSE"
"Rail Vikas Nigam Ltd.","RVNL.NS","NSE"
"Railtel Corporation Of India Ltd.","RAILTEL.NS","NSE"
"Rainbow Childrens Medicare Ltd.","RAINBOW.NS","NSE"
"Ramkrishna Forgings Ltd.","RKFORGE.NS","NSE"
"Rashtriya Chemicals & Fertilizers Ltd.","RCF.NS","NSE"
"RattanIndia Enterprises Ltd.","RTNINDIA.NS","NSE"
"Raymond Lifestyle Ltd.","RAYMONDLSL.NS","NSE"
"Raymond Ltd.","RAYMOND.NS","NSE"
"Raymond Realty Ltd.","RAYMONDREL.NS","NSE"
"Redington Ltd.","REDINGTON.NS","NSE"
"Reliance Industries Ltd.","RELIANCE.NS","NSE"
